FIPS,State,County,Diabetes_Percentage_2008,Diabetes_Percentage_2013,Obesity_Percentage_2012,Obesity_Percentage_2017,Recreation_Facilities_2011,Recreation_Facilities_2016,Recreation_Facilities_per_1000_2011,Recreation_Facilities_per_1000_2016,Recreation_Facilities_Percent_Change_2011_16,Recreation_Facilities_Per_1000_Pop_Percent_Change_2011_16
1001,AL,Autauga,11.4,13.0,33.0,36.3,4,6,0.072465081,0.108542277,50.0,49.785629002
1003,AL,Baldwin,9.8,10.4,33.0,36.3,16,21,0.085775247,0.10120043,31.25,17.983256148
1005,AL,Barbour,13.6,18.4,33.0,36.3,2,0,0.073123469,0.0,-100.0,-100.0
1007,AL,Bibb,11.1,14.8,33.0,36.3,0,1,0.0,0.0441833,,
1009,AL,Blount,11.4,14.1,33.0,36.3,3,4,0.0521177,0.069490289,33.333333333,33.333333333
1011,AL,Bullock,14.9,19.6,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1013,AL,Butler,15.1,17.7,33.0,36.3,0,1,0.0,0.0500877,,
1015,AL,Calhoun,14.5,14.9,33.0,36.3,8,7,0.067920363,0.0608802,-12.5,-10.365389633
1017,AL,Chambers,16.1,16.4,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1019,AL,Cherokee,13.6,13.3,33.0,36.3,1,1,0.0384719,0.0388108,0.0,0.881005977
1021,AL,Chilton,10.2,13.3,33.0,36.3,2,2,0.0457792,0.0456308,0.0,-0.32397901
1023,AL,Choctaw,14.7,18.1,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1025,AL,Clarke,14.1,16.3,33.0,36.3,2,2,0.07817997,0.082135524,0.0,5.059548255
1027,AL,Clay,13.2,14.6,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1029,AL,Cleburne,11.0,12.6,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1031,AL,Coffee,12.1,15.9,33.0,36.3,3,4,0.0594837,0.078099069,33.333333333,31.294947641
1033,AL,Colbert,13.5,18.7,33.0,36.3,5,5,0.091685921,0.092035268,0.0,0.381026009
